Human Timestamp,Unix Time,Microseconds,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,IMU Temperature,Pressure,Pressure Temperature
Thu Nov 12 00:12:45 IST 2020,1605120165,218646,0.042696267,0.13005175,-9.800601,-0.15556747160771078,-0.21557873739766908,0.36875496926333223,1282.1929,-413.76236,529.12256,39.791134,98471.68,41.69
Thu Nov 12 00:12:45 IST 2020,1605120165,267113,0.022587921,0.1674895,-9.77906,-0.18484743959205838,-0.22189986877429124,0.41411213059364516,1281.3965,-413.66034,529.97687,39.785126,98400.484,41.114998
Thu Nov 12 00:12:46 IST 2020,1605120166,648970,0.032499284,0.15407418,-9.78491,-0.2111560381281043,-0.23853304900506941,0.410895680677,1281.8721,-413.6554,530.6195,39.784946,98461.86,41.165
Thu Nov 12 00:12:46 IST 2020,1605120166,698971,0.027134567,0.1890407,-9.804822,-0.3180217280918069,-0.2259608715818085,0.3985884007570494,1282.3712,-414.20563,531.0526,39.770775,98461.83,41.225
Thu Nov 12 00:12:46 IST 2020,1605120166,748971,0.032913234,0.19383961,-9.841918,-0.22026646697977809,-0.2617772641972414,0.409091865662695,1280.646,-414.16824,530.3747,39.780346,98463.734,41.275
Thu Nov 12 00:12:46 IST 2020,1605120166,799241,0.03219328,0.20244004,-9.793773,-0.24308950614588032,-0.24974444404543916,0.38764214986571,1281.4758,-414.96866,530.1431,39.774345,98462.31,41.329998
Thu Nov 12 00:12:46 IST 2020,1605120166,848971,0.021947809,0.2166942,-9.784803,-0.20339887845123464,-0.23676776764133192,0.4200613391972124,1282.0283,-414.6428,530.0796,39.777416,98464.44,41.364998
Thu Nov 12 00:12:47 IST 2020,1605120167,43,0.0701776,0.1964149,-9.844929,-0.20383695919550018,-0.2758278550390993,0.4831867443618734,1282.8969,-416.2499,530.6595,39.767323,98464.61,41.39
Thu Nov 12 00:12:47 IST 2020,1605120167,50009,0.014677993,0.19334808,-9.8099785,-0.20042926398209465,-0.24962529518991783,0.40331656126449533,1281.2329,-414.91315,530.6613,39.76506,98465.875,41.405
Thu Nov 12 00:12:47 IST 2020,1605120167,100024,0.033925902,0.193334,-9.807616,-0.13121996267798325,-0.239241510376729,0.4348002802981737,1281.712,-414.9448,529.5917,39.77434,98466.664,41.425
Thu Nov 12 00:12:47 IST 2020,1605120167,150021,0.044543557,0.14718844,-9.803061,-0.1434487807998433,-0.23800304529822414,0.40671700888828155,1281.7615,-415.02646,530.4957,39.776825,98466.99,41.445
Thu Nov 12 00:12:47 IST 2020,1605120167,200234,0.016880896,0.16726471,-9.783085,-0.22844093224218784,-0.23560521252635266,0.43055858104161426,1281.5999,-413.9024,528.96564,39.773605,98469.99,41.455
Thu Nov 12 00:12:47 IST 2020,1605120167,250021,0.024226084,0.18093382,-9.795579,-0.2321649600779034,-0.21664948338655476,0.4124120585637336,1281.8741,-415.54822,530.1349,39.77929,98467.94,41.465
Thu Nov 12 00:12:47 IST 2020,1605120167,300035,0.03308751,0.1749786,-9.809517,-0.30814980903866745,-0.24472497596989218,0.41809754597434756,1281.2777,-415.61365,529.8768,39.77812,98469.04,41.475
Thu Nov 12 00:12:47 IST 2020,1605120167,350097,0.034430724,0.21671587,-9.804,-0.16702005770314657,-0.24995111418607513,0.44683920967473356,1281.9163,-413.99652,530.4126,39.766457,98468.81,41.486668
Thu Nov 12 00:12:47 IST 2020,1605120167,400024,0.019884333,0.19209316,-9.823675,-0.19007365369923213,-0.2523751483225126,0.3996032909767225,1282.2133,-414.5014,530.4352,39.777885,98469.96,41.495003
Thu Nov 12 00:12:47 IST 2020,1605120167,450047,0.04255014,0.191947,-9.802404,-0.2640453233748826,-0.24285965130756168,0.4200190679153491,1281.8802,-414.93475,529.79395,39.774227,98470.72,41.5
Thu Nov 12 00:12:47 IST 2020,1605120167,500012,0.034233805,0.20381731,-9.801331,-0.18445601283437357,-0.2742987084931673,0.4417753453695815,1282.0616,-414.47052,530.31586,39.782307,98469.22,41.504997
